assetId,originalArchivePath,storedPath,category,layer,width,height,sha256
OUTFIT_ASSET_0030,art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-boy-basic-white/footwear-front.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-boy-basic-white/footwear-front.png,STAGE_OUTFIT_ASSET,UNKNOWN,1024,1536,889184c7eee5060cc3738fcefd06f93908ea15604cd44f5f27faed2dc5b05781
OUTFIT_ASSET_0031,art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-boy-basic-white/lower-front-left.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-boy-basic-white/lower-front-left.png,STAGE_OUTFIT_ASSET,UNKNOWN,1024,1536,dbdeb2ccfeecd5d741aeb4720262b137ca8e0e915007f76db0e0423a17327586
OUTFIT_ASSET_0032,art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-boy-basic-white/lower-front-right.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-boy-basic-white/lower-front-right.png,STAGE_OUTFIT_ASSET,UNKNOWN,1024,1536,c62c036ce1fba4e33f723202ee67352f03c1e5df32705066ce0879f312725cd4
OUTFIT_ASSET_0033,art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-boy-basic-white/lower-front.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-boy-basic-white/lower-front.png,STAGE_OUTFIT_ASSET,UNKNOWN,1024,1536,cbadb0f6d968d223905f6bcdc8dab606ae7d38ffc482d8ff1774f5bfafa50bff
OUTFIT_ASSET_0034,art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-boy-basic-white/upper-front-left.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-boy-basic-white/upper-front-left.png,STAGE_OUTFIT_ASSET,UNKNOWN,1024,1536,7c9ba6f5c0f29cae8cdd60dfb4a33a3997bed6a10fa8c6fe5027f729b2548f37
OUTFIT_ASSET_0035,art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-boy-basic-white/upper-front-right.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-boy-basic-white/upper-front-right.png,STAGE_OUTFIT_ASSET,UNKNOWN,1024,1536,bbf0b7996860b0d0e4f3654369dc353513dadb8c83bf650e182f74c7693dfc42
OUTFIT_ASSET_0036,art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-boy-basic-white/upper-front.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-boy-basic-white/upper-front.png,STAGE_OUTFIT_ASSET,UNKNOWN,1024,1536,fcc0734e9a3f730504b9fe032643deab03e5989aac5bf8c41c493eb95d04176b
OUTFIT_ASSET_0037,art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/accent-front-left.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/accent-front-left.png,STAGE_OUTFIT_ASSET,UNKNOWN,1024,1536,a5c9a3c815ab1514283a4c591bb289d543a7809fff53d1763b668a2e72f051a8
OUTFIT_ASSET_0038,art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/accent-front-right.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/accent-front-right.png,STAGE_OUTFIT_ASSET,UNKNOWN,1024,1536,4dfdcf7165ef0a283934a503c726beefdce118addaa5b8787b129d920122975f
OUTFIT_ASSET_0039,art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/accent-front.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/accent-front.png,STAGE_OUTFIT_ASSET,UNKNOWN,1024,1536,78381c870d0d21f58fdbdebd02fd4e974606dad0befa28141dffd022ed0d2924
OUTFIT_ASSET_0040,art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/footwear-front-left.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/footwear-front-left.png,STAGE_OUTFIT_ASSET,UNKNOWN,1024,1536,cb682c0304dc0d333a80c508a6c005a5c365a69f2b8dcdd8dfd48b9944fb348b
OUTFIT_ASSET_0041,art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/footwear-front-right.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/footwear-front-right.png,STAGE_OUTFIT_ASSET,UNKNOWN,1024,1536,321d7436271da0900ee7103928d412977ce36b54124e8e346fc5fdb742cfd549
OUTFIT_ASSET_0042,art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/footwear-front.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/footwear-front.png,STAGE_OUTFIT_ASSET,UNKNOWN,1024,1536,551699726a1c179aafa8e024d415ab45a31182f89313fcc3acb157992bbaa458
OUTFIT_ASSET_0043,art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/lower-front-left.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/lower-front-left.png,STAGE_OUTFIT_ASSET,UNKNOWN,1024,1536,992826cee483bc6014ae637a64d529927e71f9696eb5edf873cc0a03b0d16f60
OUTFIT_ASSET_0044,art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/lower-front-right.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/lower-front-right.png,STAGE_OUTFIT_ASSET,UNKNOWN,1024,1536,ecc2e3ab94d4a5bd4a354b5eebde59c3f4a35f3849b9c7f27c083079706f8c07
OUTFIT_ASSET_0045,art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/lower-front.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/lower-front.png,STAGE_OUTFIT_ASSET,UNKNOWN,1024,1536,ba8ba8c625e39932aba427530b3016a003367822b1ca4450f5671385fe8ba2d7
OUTFIT_ASSET_0046,art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/upper-front-left.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/upper-front-left.png,STAGE_OUTFIT_ASSET,UNKNOWN,1024,1536,5f423c82013683e7a409eb5f4a607388f3acdfa81d7fe3fba9f29807fa346b65
OUTFIT_ASSET_0047,art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/upper-front-right.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/upper-front-right.png,STAGE_OUTFIT_ASSET,UNKNOWN,1024,1536,c3e6f76cad6295f7d3575fbf327798d1f621f12fcb08b1e7d9988c4cad6dd99e
OUTFIT_ASSET_0048,art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/upper-front.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/overlays/teen-girl-basic-white/upper-front.png,STAGE_OUTFIT_ASSET,UNKNOWN,1024,1536,db406030871d8e33cbfccb261d462169cf78bdbc058739149fd7a5ab9f13fe73
OUTFIT_PREVIEW_0001,art-delivery/outfit-003-release-candidate/outfit-003/previews/primary-boy-basic-white-front-left.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/previews/primary-boy-basic-white-front-left.png,STAGE_OUTFIT_PREVIEW,FullBody,1024,1536,56aa73b8fe1232b70417b1ab56658ed50757ec7319abe19bd4a12fa3a8a2fa49
OUTFIT_PREVIEW_0002,art-delivery/outfit-003-release-candidate/outfit-003/previews/primary-boy-basic-white-front-right.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/previews/primary-boy-basic-white-front-right.png,STAGE_OUTFIT_PREVIEW,FullBody,1024,1536,b39029fbe8ee1a8d621feadeba662a2e2502f9619ed2dd324c5cbd1c8c7888d6
OUTFIT_PREVIEW_0003,art-delivery/outfit-003-release-candidate/outfit-003/previews/primary-boy-basic-white-front.png,images/stage_outfit_design/art-delivery/outfit-003-release-candidate/outfit-003/previews/primary-boy-basic-white-front.png,STAGE_OUTFIT_PREVIEW,FullBody,1024,1536,61823ba8c377def11cef6415edd07b000b50b39be011a05be7f9413e0c62e384
