assetId,sourceArchive,category,layer,originalFileName,storedPath,width,height,sha256
COMMERCIAL_REF_0231,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13173.jpg,images/commercial_reference/IMG_13173.jpg,750,1000,ddfccff5be910005b00a40fc858b004c44ed51d43aa300e8bc84137391909cf1
COMMERCIAL_REF_0232,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13174.jpg,images/commercial_reference/IMG_13174.jpg,750,1000,92d7b9b5b47bdf77b0cd9be2dbdf9d1b27f2fe4e129d8260fda9655249fd76f9
COMMERCIAL_REF_0233,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13175.jpg,images/commercial_reference/IMG_13175.jpg,750,1000,d310e4b9498b711a75a0d7540e4d09a8e6e51efc5be1a7ef00a6056eee9d0758
COMMERCIAL_REF_0234,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13176.jpg,images/commercial_reference/IMG_13176.jpg,750,1000,0af91511a23bd37efb0d42c286e4bd0743ea8e0a33b860d3c7fc338ecae1a2b8
COMMERCIAL_REF_0235,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13177.jpg,images/commercial_reference/IMG_13177.jpg,750,1000,747c336606df486d5647c88bf1979a7e3d8779b386f04bae0b17e5f3d22c7f49
COMMERCIAL_REF_0236,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13178.jpg,images/commercial_reference/IMG_13178.jpg,750,1000,0ea67af80bec63041a1a6ff8f828a9f7659237aca9c5412672806aeaa928e67f
COMMERCIAL_REF_0237,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13179.jpg,images/commercial_reference/IMG_13179.jpg,750,1000,17218c3fd76083e54cdec03fe789f22639acb8575508fbdd40e517f3222e6389
COMMERCIAL_REF_0238,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13180.jpg,images/commercial_reference/IMG_13180.jpg,750,1000,93d9d1b84df2d94355bc7d61e6c83e88e88d941a9850cb3492f3fe42664f1e26
COMMERCIAL_REF_0239,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13181.jpg,images/commercial_reference/IMG_13181.jpg,750,1000,4e74e5fdcf2650b1c062e2869c5f208f91b89caa1b3a8bd79ef8b41ccb265b9b
COMMERCIAL_REF_0240,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13182.jpg,images/commercial_reference/IMG_13182.jpg,750,1000,47d1179d4a761a076545e7b47d26cd2d47f1214b11afe661d5635e25f72f12ee
COMMERCIAL_REF_0241,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13183.jpg,images/commercial_reference/IMG_13183.jpg,750,1000,e22ddad94ff59a26c86e0971a64e64f214f7eede72091b31a0bb421ccb3ff42b
COMMERCIAL_REF_0242,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13184.jpg,images/commercial_reference/IMG_13184.jpg,750,1000,01b3edc15aeaaaa24c1cf65f843cfb2cb991ff4c6fa32d64e4423978588eff71
COMMERCIAL_REF_0243,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13185.jpg,images/commercial_reference/IMG_13185.jpg,750,1000,4fa14b338f0720b5408f3cde9255b4ac01a275196208d417718b0f0323f54dd0
COMMERCIAL_REF_0244,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13186.jpg,images/commercial_reference/IMG_13186.jpg,750,1000,712f89c0446780eeed28fdcd89f87068d90713278414811ebfa1a7225f87a84a
COMMERCIAL_REF_0245,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13187.jpg,images/commercial_reference/IMG_13187.jpg,750,1000,8b190824506320aa8797c3dc383ddc4bbbdb69e6a4d2db556cc94dfb7046bbcd
COMMERCIAL_REF_0246,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13188.jpg,images/commercial_reference/IMG_13188.jpg,750,1000,db980349e470bc57b04caeec47b9cdbbfd2d0647677475c5ef11e348cbd586a4
COMMERCIAL_REF_0247,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13189.jpg,images/commercial_reference/IMG_13189.jpg,750,1000,c6f48303f7c72681a9ed59103409f8e758fbe7bb920ac334b8ae9dcc51425c17
COMMERCIAL_REF_0248,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13190.jpg,images/commercial_reference/IMG_13190.jpg,750,1000,febe90e15e6df80bc062f7690116046a7671dbd756e5b90c80adc5d496d132b9
COMMERCIAL_REF_0249,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13191.jpg,images/commercial_reference/IMG_13191.jpg,750,1000,65d7b897b4a91c0b33f43729a42e58a6e8c8991c72ae02f4e58b13edcff470af
COMMERCIAL_REF_0250,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13192.jpg,images/commercial_reference/IMG_13192.jpg,750,1000,49351b9e1253f77b8bf653115b2f39407747d248e4839880427f2bb7f1712a72
COMMERCIAL_REF_0251,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13193.jpg,images/commercial_reference/IMG_13193.jpg,1440,1920,4cf0020ae34221d87aa3cf1bdd51dc5da55489369d74d4714e4c9249f5577401
COMMERCIAL_REF_0252,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13194.jpg,images/commercial_reference/IMG_13194.jpg,1440,1920,f0bfd44eaf2d31272509d475ec2360fab92b1e7994730f7b0e164c84ee1b9d9a
COMMERCIAL_REF_0253,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13195.jpg,images/commercial_reference/IMG_13195.jpg,1200,1200,8a906a901d1bee47fa6361d9763f7a0899800fcf1e716256b8d5311453a6c84b
COMMERCIAL_REF_0254,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13196.jpg,images/commercial_reference/IMG_13196.jpg,1200,1200,f2da6c860f4002dc58974fdc97cb8f0611516b7f83fe8b9ff2bff1fc657f573d
COMMERCIAL_REF_0255,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13197.jpg,images/commercial_reference/IMG_13197.jpg,1200,1200,7c29df826e7624fc4059fe076bf13c97f79759af456d838065529ac5f3272678
COMMERCIAL_REF_0256,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13198.jpg,images/commercial_reference/IMG_13198.jpg,1200,1200,33eb7e5553f2eef7c0a0948819a6be228378588d436a88fb68d3559b9f6d8c16
COMMERCIAL_REF_0257,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13199.jpg,images/commercial_reference/IMG_13199.jpg,1080,1440,337003625b6886d4f56aa680b08dc64f9808803ade22a1084c365ca6071aec76
COMMERCIAL_REF_0258,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13200.jpg,images/commercial_reference/IMG_13200.jpg,1080,1440,a02d7d5761e75a0ddfe65244cc07f52bc3911d2e73e13dcec661f0969713cd95
COMMERCIAL_REF_0259,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13201.jpg,images/commercial_reference/IMG_13201.jpg,1440,1920,8491194eb2aa942c0482e9b99bab386ae847222f20b942eaa9dd0297ba31f49e
COMMERCIAL_REF_0260,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13202.jpg,images/commercial_reference/IMG_13202.jpg,2160,2160,a73b1264d4457169229b4fc8b3cf0e78102f4702029bbb7cbd0d1d07dbf87d96
COMMERCIAL_REF_0261,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13203.jpg,images/commercial_reference/IMG_13203.jpg,800,800,70b27fe02d39d62331fa55222d8178603414c0d667e4ec4ba05a0513f8c9dd8b
COMMERCIAL_REF_0262,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13204.jpg,images/commercial_reference/IMG_13204.jpg,750,750,79ae980fcbeaa5c2fb0194d532c91556406d6b130fd7fa2151ec3648ee9b360b
COMMERCIAL_REF_0263,1.zip,COMMERCIAL_COSTUME_REFERENCE,UNKNOWN,IMG_13205.jpg,images/commercial_reference/IMG_13205.jpg,600,800,3d7a1ed3b26e638090be7143824ca431b1debab9551f940d1c49b00f0905bfac
